idx;x [m];y [m];z [m];Reff [m]
583;-3.7865;4.2231;-0.3291;0.062
584;-3.7865;4.2231;-0.3124;0.071
585;-3.7865;4.2231;-0.2958;0.082
586;-3.7865;4.2231;-0.2791;0.096
587;-3.7865;4.2231;-0.2624;0.111
588;-3.7865;4.2231;-0.2458;0.127
589;-3.7865;4.2231;-0.2291;0.144
590;-3.7865;4.2231;-0.2124;0.161
591;-3.7865;4.2231;-0.1958;0.177
592;-3.7783;4.2104;-0.4458;0.116
593;-3.7783;4.2104;-0.4291;0.102
594;-3.7783;4.2104;-0.4124;0.089
595;-3.7783;4.2104;-0.3958;0.079
596;-3.7783;4.2104;-0.3791;0.073
597;-3.7783;4.2104;-0.3624;0.071
598;-3.7783;4.2104;-0.3458;0.074
599;-3.7783;4.2104;-0.3291;0.082
600;-3.7783;4.2104;-0.3124;0.092
601;-3.7783;4.2104;-0.2958;0.105
602;-3.7783;4.2104;-0.2791;0.119
603;-3.7783;4.2104;-0.2624;0.135
604;-3.7783;4.2104;-0.2458;0.151
605;-3.7783;4.2104;-0.2291;0.167
606;-3.7783;4.2104;-0.2124;0.184
607;-3.7783;4.2104;-0.1958;0.201
608;-3.7701;4.1976;-0.4458;0.114
