idx;x [m];y [m];z [m];Reff [m]
464;-3.8391;4.3643;-0.4458;0.291
465;-3.8391;4.3643;-0.41;0.255
466;-3.8391;4.3643;-0.3743;0.22
467;-3.8391;4.3643;-0.3386;0.187
468;-3.8391;4.3643;-0.3029;0.156
469;-3.8391;4.3643;-0.2672;0.129
470;-3.8391;4.3643;-0.2315;0.108
471;-3.8391;4.3643;-0.1958;0.097
472;-3.8225;4.3385;-0.4458;0.249
473;-3.8225;4.3385;-0.41;0.211
474;-3.8225;4.3385;-0.3743;0.175
475;-3.8225;4.3385;-0.3386;0.14
476;-3.8225;4.3385;-0.3029;0.108
477;-3.8225;4.3385;-0.2672;0.081
478;-3.8225;4.3385;-0.2315;0.066
479;-3.8225;4.3385;-0.1958;0.068
480;-3.806;4.3126;-0.4458;0.209
481;-3.806;4.3126;-0.41;0.17
482;-3.806;4.3126;-0.3743;0.132
483;-3.806;4.3126;-0.3386;0.095
484;-3.806;4.3126;-0.3029;0.061
485;-3.806;4.3126;-0.2672;0.044
486;-3.806;4.3126;-0.2315;0.046
487;-3.806;4.3126;-0.1958;0.068
488;-3.7894;4.2868;-0.4458;0.172
489;-3.7894;4.2868;-0.41;0.133
490;-3.7894;4.2868;-0.3743;0.094
491;-3.7894;4.2868;-0.3386;0.055
492;-3.7894;4.2868;-0.3029;0.03
493;-3.7894;4.2868;-0.2672;0.035
494;-3.7894;4.2868;-0.2315;0.061
495;-3.7894;4.2868;-0.1958;0.097
496;-3.7728;4.261;-0.4458;0.141
497;-3.7728;4.261;-0.41;0.103
498;-3.7728;4.261;-0.3743;0.066
499;-3.7728;4.261;-0.3386;0.044
500;-3.7728;4.261;-0.3029;0.043
501;-3.7728;4.261;-0.2672;0.066
502;-3.7728;4.261;-0.2315;0.102
503;-3.7728;4.261;-0.1958;0.138
504;-3.7562;4.2352;-0.4458;0.12
505;-3.7562;4.2352;-0.41;0.087
506;-3.7562;4.2352;-0.3743;0.063
507;-3.7562;4.2352;-0.3386;0.06
508;-3.7562;4.2352;-0.3029;0.08
509;-3.7562;4.2352;-0.2672;0.112
510;-3.7562;4.2352;-0.2315;0.147
511;-3.7562;4.2352;-0.1958;0.183
512;-3.7396;4.2094;-0.4458;0.112
513;-3.7396;4.2094;-0.41;0.091
514;-3.7396;4.2094;-0.3743;0.087
515;-3.7396;4.2094;-0.3386;0.1
516;-3.7396;4.2094;-0.3029;0.126
517;-3.7396;4.2094;-0.2672;0.158
518;-3.7396;4.2094;-0.2315;0.193
519;-3.7396;4.2094;-0.1958;0.23
520;-3.7231;4.1836;-0.4458;0.12
521;-3.7231;4.1836;-0.41;0.113
522;-3.7231;4.1836;-0.3743;0.122
523;-3.7231;4.1836;-0.3386;0.142
524;-3.7231;4.1836;-0.3029;0.171
525;-3.7231;4.1836;-0.2672;0.204
526;-3.7231;4.1836;-0.2315;0.24
527;-3.7231;4.1836;-0.1958;0.277
528;-3.7065;4.1577;-0.4458;0.14
529;-3.7065;4.1577;-0.41;0.145
530;-3.7065;4.1577;-0.3743;0.161
531;-3.7065;4.1577;-0.3386;0.185
532;-3.7065;4.1577;-0.3029;0.215
533;-3.7065;4.1577;-0.2672;0.25
534;-3.7065;4.1577;-0.2315;0.286
535;-3.7065;4.1577;-0.1958;0.324
536;-3.6899;4.1319;-0.4458;0.168
537;-3.6899;4.1319;-0.41;0.18
538;-3.6899;4.1319;-0.3743;0.201
539;-3.6899;4.1319;-0.3386;0.228
540;-3.6899;4.1319;-0.3029;0.26
541;-3.6899;4.1319;-0.2672;0.295
542;-3.6899;4.1319;-0.2315;0.332
543;-3.6899;4.1319;-0.1958;0.371
544;-3.6733;4.1061;-0.4458;0.201
545;-3.6733;4.1061;-0.41;0.218
546;-3.6733;4.1061;-0.3743;0.241
547;-3.6733;4.1061;-0.3386;0.27
548;-3.6733;4.1061;-0.3029;0.303
549;-3.6733;4.1061;-0.2672;0.34
550;-3.6733;4.1061;-0.2315;0.378
551;-3.6733;4.1061;-0.1958;0.417
552;-3.6568;4.0803;-0.4458;0.236
553;-3.6568;4.0803;-0.41;0.256
554;-3.6568;4.0803;-0.3743;0.282
555;-3.6568;4.0803;-0.3386;0.312
556;-3.6568;4.0803;-0.3029;0.346
557;-3.6568;4.0803;-0.2672;0.383
558;-3.6568;4.0803;-0.2315;0.422
559;-3.6568;4.0803;-0.1958;0.463
560;-3.6402;4.0545;-0.4458;0.272
561;-3.6402;4.0545;-0.41;0.294
562;-3.6402;4.0545;-0.3743;0.322
563;-3.6402;4.0545;-0.3386;0.353
564;-3.6402;4.0545;-0.3029;0.388
565;-3.6402;4.0545;-0.2672;0.426
566;-3.6402;4.0545;-0.2315;0.466
567;-3.6402;4.0545;-0.1958;0.508
568;-3.6236;4.0286;-0.4458;0.308
569;-3.6236;4.0286;-0.41;0.332
570;-3.6236;4.0286;-0.3743;0.361
571;-3.6236;4.0286;-0.3386;0.393
572;-3.6236;4.0286;-0.3029;0.429
573;-3.6236;4.0286;-0.2672;0.468
574;-3.6236;4.0286;-0.2315;0.509
575;-3.6236;4.0286;-0.1958;NaN
576;-3.607;4.0028;-0.4458;0.344
577;-3.607;4.0028;-0.41;0.37
578;-3.607;4.0028;-0.3743;0.399
579;-3.607;4.0028;-0.3386;0.433
580;-3.607;4.0028;-0.3029;0.469
581;-3.607;4.0028;-0.2672;0.509
582;-3.607;4.0028;-0.2315;NaN
583;-3.607;4.0028;-0.1958;NaN
584;-3.5904;3.977;-0.4458;0.38
585;-3.5904;3.977;-0.41;0.406
586;-3.5904;3.977;-0.3743;0.437
587;-3.5904;3.977;-0.3386;0.471
588;-3.5904;3.977;-0.3029;0.509
589;-3.5904;3.977;-0.2672;NaN
590;-3.5904;3.977;-0.2315;NaN
591;-3.5904;3.977;-0.1958;NaN
592;-3.5739;3.9512;-0.4458;0.414
