T Z1 Z2 Z3 Z4 Z5 Z6 Z7
1402.58170955539 2.41157025357477E-22 1.00315854971966E-16 1.30840847597954E-11 5.98567208753504E-7 0.00103501251455792 0.237733127892919 99.7612312610122
1417.21709204996 2.21387321785131E-22 9.33010194757107E-17 1.23348490181475E-11 5.72284561431688E-7 0.00100184283890935 0.23394919687711 99.7650483879871
1432.00518894205 2.03255337158667E-22 8.67833744979086E-17 1.16293059900111E-11 5.47187511905131E-7 0.000969802569667813 0.230236535933818 99.7687931142974
1446.9475937457 1.86624028696586E-22 8.07272238863503E-17 1.09648636376056E-11 5.23221244356424E-7 0.000938851283882821 0.226593664199987 99.7724669612839
1462.0459166026 1.7136793336172E-22 7.5099466083769E-17 1.03390861985717E-11 5.00333535429753E-7 0.000908950068465787 0.223019133997612 99.7760714155901
1477.30178445566 1.57372180162361E-22 6.98694033005509E-17 9.74968461910357E-12 4.7847462903308E-7 0.000880061461656567 0.219511530046116 99.7796079300078
1492.71684122427 1.44531587468566E-22 6.50085648819522E-17 9.19450758126098E-12 4.57597117304301E-7 0.00085214939683467 0.216069468694274 99.7830779243026
1508.29274798148 1.32749837961542E-22 6.04905438025036E-17 8.67153308705374E-12 4.37655827432603E-7 0.000825179148578653 0.212691597171121 99.7864827860158
1524.03118313296 1.2193872448035E-22 5.62908453013218E-17 8.1788605642713E-12 4.18607714041689E-7 0.000799117280880851 0.20937659285541 99.7898238712478
1539.93384259789 1.12017460619693E-22 5.23867467469628E-17 7.71470346126572E-12 4.00411756856698E-7 0.000773931597429021 0.206123162563116 99.79310250542
1556.00243999168 1.02912050469878E-22 4.87571678895614E-17 7.27738229998271E-12 3.83028863390645E-7 0.000749591093869774 0.202930041852548 99.7963199840174
1572.23870681065 9.45547123801281E-23 4.53825507218467E-17 6.86531815848926E-12 3.66421776399704E-7 0.000726065911972563 0.199795994346609 99.7994775733128
1588.6443926186 8.68868225131394E-23 4.22463265032365E-17 6.47725176014873E-12 3.50566331837847E-7 0.000703361296911704 0.196727687895252 99.802568600235
1605.2212652353 7.98520689961176E-23 3.93319836824007E-17 6.11184381535924E-12 3.3543204696079E-7 0.000681461038904824 0.193727032711689 99.8055911708112
1621.97111092705 7.33923395044157E-23 3.66211745002845E-17 5.76739429040779E-12 3.2096719287525E-7 0.000660280349526085 0.190779497830916 99.8085599008466
1638.89573459912 6.74601954504177E-23 3.40995157043871E-17 5.44268210761303E-12 3.07141487741866E-7 0.000639794491114765 0.187884051580711 99.8114758467812
1655.99695999024 6.20121470020099E-23 3.17536520600147E-17 5.13655839643949E-12 2.93926048286875E-7 0.000619979610516153 0.185039683809611 99.8143400426487
1673.27662986914 5.70083215302574E-23 2.95711820693642E-17 4.84794216291474E-12 2.81293323948825E-7 0.000600812706341334 0.182245405412434 99.817153500583
1690.73660623309 5.24121601303807E-23 2.75405891144665E-17 4.57581622228054E-12 2.69217034182405E-7 0.00058227159747681 0.179500247866723 99.8199172113142
1708.37877050859 4.81901398195351E-23 2.56511776239241E-17 4.31922337867107E-12 2.57672108765462E-7 0.000564334892794827 0.176803262779824 99.822632144651
1726.20502375405 4.43115192211202E-23 2.3893013893188E-17 4.07726283662263E-12 2.46634630962931E-7 0.000546981962017386 0.174153521446375 99.8252992499529
1744.21728686469 4.0748105733647E-23 2.2256871215663E-17 3.84908683016448E-12 2.36081783408624E-7 0.000530192907688814 0.171550114415943 99.8279194565907
1762.41750077949 3.74740423542097E-23 2.07341790074225E-17 3.6338974561274E-12 2.25991796572674E-7 0.000513948538213421 0.168992151070581 99.8304936743958
1780.80762669037 3.44656124837131E-23 1.93169756318842E-17 3.43094369913758E-12 2.16343899689017E-7 0.000498230341916747 0.166478759212053 99.8330227940987
1799.38964625351 3.17010611845353E-23 1.79978646526054E-17 3.23951863654198E-12 2.07118274023439E-7 0.00048302046209033 0.164009084658525 99.8355076877579
1818.16556180286 2.91604314924068E-23 1.67699742625234E-17 3.05895681224078E-12 1.9829600836865E-7 0.000468301672981746 0.161582290850473 99.8379492091775
1837.13739656596 2.68254145040719E-23 1.56269196566263E-17 2.8886317690865E-12 1.89859056658415E-7 0.000454057356693005 0.159197558465612 99.8403481943158
1856.30719488191 2.46792120717456E-23 1.45627681323055E-17 2.72795373015022E-12 1.81790197598112E-7 0.000440271480952012 0.156854085042613 99.8427054616835
